url,url_len,dom,dom_len,is_ip,tld,tld_len,subdom_cnt,letter_cnt,digit_cnt,special_cnt,eq_cnt,qm_cnt,amp_cnt,dot_cnt,dash_cnt,under_cnt,letter_ratio,digit_ratio,spec_ratio,is_https,slash_cnt,entropy,path_len,query_len,label
http://www.danskemaritime.dk/en/,32,danskemaritime.dk,17,0,dk,2,1,25,0,7,0,0,0,2,0,0,0.78125,0,0.21875,0,4,3.866729297,4,0,0
http://www.fujitsu.com/uk/,26,fujitsu.com,11,0,com,3,1,19,0,7,0,0,0,2,0,0,0.730769231,0,0.269230769,0,4,3.767183468,4,0,0
http://www.italtel.com/,23,italtel.com,11,0,com,3,1,17,0,6,0,0,0,2,0,0,0.739130435,0,0.260869565,0,3,3.588354347,1,0,0
http://lnu.edu.ua/,18,lnu.edu.ua,10,0,edu.ua,6,0,12,0,6,0,0,0,2,0,0,0.666666667,0,0.333333333,0,3,3.419381946,1,0,0
http://www.omsu.ru/page.php?id=,31,omsu.ru,7,0,ru,2,1,22,0,9,1,1,0,3,0,0,0.709677419,0,0.290322581,0,3,4.042433004,9,3,0
https://www.uzhnu.edu.ua/,25,uzhnu.edu.ua,12,0,edu.ua,6,1,18,0,7,0,0,0,3,0,0,0.72,0,0.28,1,3,3.59326969,1,0,0
http://www.tsu.ru/,18,tsu.ru,6,0,ru,2,1,12,0,6,0,0,0,2,0,0,0.666666667,0,0.333333333,0,3,3.155221529,1,0,0
http://en.psu.ru/,17,psu.ru,6,0,ru,2,1,11,0,6,0,0,0,2,0,0,0.647058824,0,0.352941176,0,3,3.337175341,1,0,0
https://www.mininuniver.ru/eng/,31,mininuniver.ru,14,0,ru,2,1,24,0,7,0,0,0,2,0,0,0.774193548,0,0.225806452,1,4,3.808719697,5,0,0
http://ium.mccme.ru/english/,28,mccme.ru,8,0,ru,2,1,21,0,7,0,0,0,2,0,0,0.75,0,0.25,0,4,3.851823226,9,0,0
http://www.csu.ru/en,20,csu.ru,6,0,ru,2,1,14,0,6,0,0,0,2,0,0,0.7,0,0.3,0,3,3.546439345,3,0,0
http://v4.udsu.ru/english/index,31,udsu.ru,7,0,ru,2,1,23,1,7,0,0,0,2,0,0,0.741935484,0.032258065,0.225806452,0,4,4.026619294,14,0,0
http://kstu.kstu.ru/knrtu/news.jsp,34,kstu.ru,7,0,ru,2,1,26,0,8,0,0,0,3,0,0,0.764705882,0,0.235294118,0,4,3.583950621,15,0,0
http://www.kgmu.kcn.ru/en,25,kcn.ru,6,0,ru,2,2,18,0,7,0,0,0,3,0,0,0.72,0,0.28,0,3,3.75326969,3,0,0
http://www.bsuir.by/index.jsp?&lang=en,38,bsuir.by,8,0,by,2,1,28,0,10,1,1,1,3,0,0,0.736842105,0,0.263157895,0,3,4.431623566,10,8,0
http://opu.ua/,14,opu.ua,6,0,ua,2,0,9,0,5,0,0,0,1,0,0,0.642857143,0,0.357142857,0,3,3.039148672,1,0,0
